Voltage U1,Corriente IA
U1/V,IA/nA
,
0.02,0.44
0.04,0.45
0.07,0.47
0.09,0.49
0.12,0.51
0.14,0.52
0.17,0.52
0.19,0.52
0.21,0.54
0.24,0.53
0.26,0.53
0.29,0.52
0.31,0.51
0.34,0.51
0.36,0.5
0.39,0.48
0.41,0.49
0.43,0.5
0.46,0.51
0.48,0.51
0.51,0.51
0.53,0.55
0.56,0.55
0.58,0.55
0.61,0.55
0.63,0.53
0.65,0.52
0.68,0.51
0.7,0.49
0.73,0.49
0.75,0.48
0.78,0.46
0.8,0.49
0.83,0.5
0.85,0.49
0.87,0.53
0.9,0.53
0.92,0.54
0.95,0.55
0.97,0.55
1,0.53
1.02,0.54
1.05,0.51
1.07,0.53
1.09,0.53
1.12,0.53
1.14,0.52
1.17,0.53
1.19,0.52
1.22,0.54
1.24,0.53
1.26,0.55
1.29,0.55
1.31,0.55
1.34,0.54
1.36,0.53
1.39,0.52
1.41,0.53
1.44,0.5
1.46,0.49
1.48,0.49
1.51,0.51
1.53,0.52
1.56,0.51
1.58,0.49
1.61,0.51
1.63,0.49
1.66,0.51
1.68,0.51
1.7,0.53
1.73,0.53
1.75,0.53
1.78,0.52
1.8,0.54
1.83,0.51
1.85,0.51
1.88,0.49
1.9,0.5
1.92,0.5
1.95,0.51
1.97,0.49
2,0.55
2.02,0.53
2.05,0.56
2.07,0.55
2.1,0.54
2.12,0.54
2.14,0.55
2.17,0.51
2.19,0.52
2.22,0.49
2.24,0.48
2.27,0.49
2.29,0.49
2.31,0.49
2.34,0.49
2.36,0.48
2.39,0.51
2.41,0.51
2.44,0.52
2.46,0.52
2.49,0.51
2.51,0.5
2.53,0.51
2.56,0.5
2.58,0.51
2.61,0.52
2.63,0.52
2.66,0.53
2.68,0.54
2.71,0.55
2.73,0.58
2.75,0.58
2.78,0.55
2.8,0.56
2.83,0.51
2.85,0.5
2.88,0.47
2.9,0.44
2.93,0.45
2.95,0.45
2.97,0.42
3,0.47
3.02,0.48
3.05,0.5
3.07,0.51
3.1,0.49
3.12,0.49
3.15,0.52
3.17,0.52
3.19,0.54
3.22,0.53
3.24,0.53
3.27,0.55
3.29,0.53
3.32,0.54
3.34,0.53
3.36,0.51
3.39,0.52
3.41,0.53
3.44,0.52
3.46,0.57
3.49,0.56
3.51,0.56
3.54,0.56
3.56,0.54
3.58,0.54
3.61,0.54
3.63,0.52
3.66,0.52
3.68,0.51
3.71,0.5
3.73,0.52
3.76,0.51
3.78,0.51
3.8,0.51
3.83,0.52
3.85,0.53
3.88,0.54
3.9,0.53
3.93,0.53
3.95,0.53
3.98,0.53
4,0.54
4.02,0.52
4.05,0.52
4.07,0.51
4.1,0.51
4.12,0.51
4.15,0.51
4.17,0.48
4.2,0.52
4.22,0.51
4.24,0.52
4.27,0.52
4.29,0.5
4.32,0.52
4.34,0.53
4.37,0.49
4.39,0.51
4.42,0.49
4.44,0.48
4.46,0.51
4.49,0.5
4.51,0.49
4.54,0.5
4.56,0.49
4.59,0.5
4.61,0.52
4.63,0.5
4.66,0.5
4.68,0.52
4.71,0.52
4.73,0.53
4.76,0.52
4.78,0.51
4.81,0.51
4.83,0.51
4.85,0.51
4.88,0.53
4.9,0.51
4.93,0.55
4.95,0.54
4.98,0.55
5,0.52
5.03,0.51
5.05,0.5
5.07,0.51
5.1,0.49
5.12,0.51
5.15,0.5
5.17,0.5
5.2,0.51
5.22,0.52
5.25,0.51
5.27,0.52
5.29,0.51
5.32,0.53
5.34,0.53
5.37,0.53
5.39,0.53
5.42,0.53
5.44,0.51
5.47,0.53
5.49,0.5
5.51,0.51
5.54,0.5
5.56,0.51
5.59,0.52
5.61,0.53
5.64,0.52
5.66,0.54
5.68,0.53
5.71,0.53
5.73,0.51
5.76,0.51
5.78,0.5
5.81,0.49
5.83,0.49
5.86,0.49
5.88,0.47
5.9,0.48
5.93,0.51
5.95,0.52
5.98,0.52
6,0.52
6.03,0.52
6.05,0.52
6.08,0.54
6.1,0.51
6.12,0.5
6.15,0.49
6.17,0.49
6.2,0.5
6.22,0.51
6.25,0.47
6.27,0.47
6.3,0.47
6.32,0.48
6.34,0.46
6.37,0.44
6.39,0.43
6.42,0.46
6.44,0.45
6.47,0.45
6.49,0.45
6.52,0.48
6.54,0.49
6.56,0.51
6.59,0.5
6.61,0.51
6.64,0.51
6.66,0.53
6.69,0.51
6.71,0.51
6.73,0.5
6.76,0.5
6.78,0.52
6.81,0.54
6.83,0.51
6.86,0.54
6.88,0.53
6.91,0.54
6.93,0.55
6.95,0.53
6.98,0.52
7,0.53
7.03,0.51
