t1,x,t2,y
-2.86E-02,2.79999995,-2.86E-02,599.999964237E-3
-2.86E-02,2.75999999,-2.86E-02,599.999964237E-3
-2.86E-02,2.75999999,-2.86E-02,599.999964237E-3
-2.85E-02,2.72000003,-2.85E-02,639.999985695E-3
-2.85E-02,2.75999999,-2.85E-02,599.999964237E-3
-2.85E-02,2.75999999,-2.85E-02,639.999985695E-3
-2.85E-02,2.72000003,-2.85E-02,639.999985695E-3
-2.85E-02,2.75999999,-2.85E-02,680.000007153E-3
-2.84E-02,2.75999999,-2.84E-02,680.000007153E-3
-2.84E-02,2.75999999,-2.84E-02,639.999985695E-3
-2.84E-02,2.75999999,-2.84E-02,639.999985695E-3
-2.84E-02,2.79999995,-2.84E-02,680.000007153E-3
-2.84E-02,2.72000003,-2.84E-02,719.999969006E-3
-2.83E-02,2.79999995,-2.83E-02,719.999969006E-3
-2.83E-02,2.79999995,-2.83E-02,719.999969006E-3
-2.83E-02,2.79999995,-2.83E-02,719.999969006E-3
-2.83E-02,2.79999995,-2.83E-02,719.999969006E-3
-2.83E-02,2.79999995,-2.83E-02,719.999969006E-3
-2.82E-02,2.79999995,-2.82E-02,719.999969006E-3
-2.82E-02,2.79999995,-2.82E-02,759.999990463E-3
-2.82E-02,2.79999995,-2.82E-02,759.999990463E-3
-2.82E-02,2.79999995,-2.82E-02,759.999990463E-3
-2.82E-02,2.79999995,-2.82E-02,759.999990463E-3
-2.81E-02,2.79999995,-2.81E-02,799.999952316E-3
-2.81E-02,2.83999991,-2.81E-02,799.999952316E-3
-2.81E-02,2.79999995,-2.81E-02,799.999952316E-3
-2.81E-02,2.79999995,-2.81E-02,839.999973774E-3
-2.81E-02,2.79999995,-2.81E-02,839.999973774E-3
-2.80E-02,2.79999995,-2.80E-02,839.999973774E-3
-2.80E-02,2.79999995,-2.80E-02,799.999952316E-3
-2.80E-02,2.83999991,-2.80E-02,839.999973774E-3
-2.80E-02,2.79999995,-2.80E-02,839.999973774E-3
-2.80E-02,2.79999995,-2.80E-02,879.999995232E-3
-2.79E-02,2.79999995,-2.79E-02,879.999995232E-3
-2.79E-02,2.87999988,-2.79E-02,839.999973774E-3
-2.79E-02,2.83999991,-2.79E-02,879.999995232E-3
-2.79E-02,2.79999995,-2.79E-02,919.999957085E-3
-2.79E-02,2.83999991,-2.79E-02,919.999957085E-3
-2.78E-02,2.83999991,-2.78E-02,919.999957085E-3
-2.78E-02,2.83999991,-2.78E-02,919.999957085E-3
-2.78E-02,2.87999988,-2.78E-02,959.999978542E-3
-2.78E-02,2.87999988,-2.78E-02,919.999957085E-3
