Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,76
0,04	0,71
0,07	0,63
0,09	0,63
0,12	0,56
0,14	0,57
0,17	0,55
0,19	0,53
0,21	0,51
0,24	0,54
0,26	0,48
0,29	0,47
0,31	0,44
0,34	0,42
0,36	0,46
0,39	0,48
0,41	0,45
0,43	0,43
0,46	0,45
0,48	0,42
0,51	0,45
0,53	0,43
0,56	0,42
0,58	0,38
0,61	0,41
0,63	0,36
0,65	0,37
0,68	0,35
0,70	0,37
0,73	0,33
0,75	0,38
0,78	0,35
0,80	0,41
0,83	0,42
0,85	0,45
0,87	0,40
0,90	0,44
0,92	0,40
0,95	0,46
0,97	0,39
1,00	0,46
1,02	0,43
1,05	0,46
1,07	0,45
1,09	0,56
1,12	0,48
1,14	0,58
1,17	0,52
1,19	0,57
1,22	0,57
1,24	0,64
1,26	0,54
1,29	0,64
1,31	0,57
1,34	0,62
1,36	0,60
1,39	0,63
1,41	0,56
1,44	0,64
1,46	0,57
1,48	0,64
1,51	0,60
1,53	0,63
1,56	0,60
1,58	0,63
1,61	0,59
1,63	0,65
1,66	0,57
1,68	0,60
1,70	0,56
1,73	0,58
1,75	0,55
1,78	0,57
1,80	0,51
1,83	0,54
1,85	0,51
1,88	0,51
1,90	0,51
1,92	0,54
1,95	0,51
1,97	0,51
2,00	0,50
2,02	0,48
2,05	0,49
2,07	0,49
2,10	0,47
2,12	0,43
2,14	0,44
2,17	0,40
2,19	0,42
2,22	0,42
2,24	0,40
2,27	0,34
2,29	0,38
2,31	0,33
2,34	0,36
2,36	0,34
2,39	0,35
2,41	0,31
2,44	0,36
2,46	0,32
2,49	0,40
2,51	0,35
2,53	0,40
2,56	0,38
2,58	0,42
2,61	0,40
2,63	0,48
2,66	0,41
2,68	0,53
2,71	0,48
2,73	0,51
2,75	0,50
2,78	0,58
2,80	0,50
2,83	0,61
2,85	0,54
2,88	0,58
2,90	0,56
2,93	0,62
2,95	0,55
2,97	0,65
3,00	0,57
3,02	0,66
3,05	0,61
3,07	0,67
3,10	0,61
3,12	0,66
3,15	0,60
3,17	0,65
3,19	0,59
3,22	0,64
3,24	0,56
3,27	0,60
3,29	0,58
3,32	0,63
3,34	0,59
3,36	0,62
3,39	0,57
3,41	0,61
3,44	0,58
3,46	0,60
3,49	0,55
3,51	0,55
3,54	0,52
3,56	0,54
3,58	0,53
3,61	0,55
3,63	0,52
3,66	0,50
3,68	0,50
3,71	0,49
3,73	0,48
3,76	0,49
3,78	0,46
3,80	0,43
3,83	0,44
3,85	0,39
3,88	0,40
3,90	0,40
3,93	0,39
3,95	0,35
3,98	0,36
4,00	0,32
4,02	0,38
4,05	0,36
4,07	0,39
4,10	0,35
4,12	0,40
4,15	0,39
4,17	0,46
4,20	0,40
4,22	0,46
4,24	0,40
4,27	0,43
4,29	0,43
4,32	0,52
4,34	0,45
4,37	0,54
4,39	0,49
4,42	0,55
4,44	0,53
4,46	0,59
4,49	0,50
4,51	0,59
4,54	0,53
4,56	0,58
4,59	0,56
4,61	0,63
4,63	0,55
4,66	0,63
4,68	0,58
4,71	0,63
4,73	0,59
4,76	0,65
4,78	0,58
4,81	0,63
4,83	0,59
4,85	0,66
4,88	0,62
4,90	0,67
4,93	0,60
4,95	0,63
4,98	0,60
5,00	0,65
5,03	0,62
5,05	0,63
5,07	0,61
5,10	0,63
5,12	0,61
5,15	0,65
5,17	0,61
5,20	0,57
5,22	0,57
5,25	0,55
5,27	0,54
5,29	0,56
5,32	0,52
5,34	0,48
5,37	0,49
5,39	0,45
5,42	0,48
5,44	0,47
5,47	0,43
5,49	0,41
5,51	0,43
5,54	0,37
5,56	0,41
5,59	0,38
5,61	0,38
5,64	0,33
5,66	0,35
5,68	0,31
5,71	0,36
5,73	0,33
5,76	0,39
5,78	0,35
5,81	0,41
5,83	0,38
5,86	0,45
5,88	0,41
5,90	0,49
5,93	0,41
5,95	0,46
5,98	0,44
6,00	0,53
6,03	0,47
6,05	0,58
6,08	0,53
6,10	0,58
6,12	0,57
6,15	0,66
6,17	0,56
6,20	0,67
6,22	0,62
6,25	0,68
6,27	0,66
6,30	0,73
6,32	0,64
6,34	0,74
6,37	0,68
6,39	0,73
6,42	0,69
6,44	0,74
6,47	0,67
6,49	0,76
6,52	0,71
6,54	0,78
6,56	0,72
6,59	0,74
6,61	0,71
6,64	0,74
6,66	0,68
6,69	0,74
6,71	0,67
6,73	0,69
6,76	0,67
6,78	0,66
6,81	0,63
6,83	0,66
6,86	0,61
6,88	0,62
6,91	0,61
6,93	0,59
6,95	0,62
6,98	0,64
