x,y
1.8399999,1.60E-01
1.8399999,1.60E-01
1.88,1.60E-01
1.8399999,1.60E-01
1.8399999,1.60E-01
1.92,1.60E-01
1.8399999,2.40E-01
1.88,2.40E-01
1.8399999,1.60E-01
1.88,1.60E-01
1.92,1.60E-01
1.92,1.60E-01
1.88,2.40E-01
1.92,1.60E-01
1.9599999,2.40E-01
1.9599999,2.40E-01
1.9599999,1.60E-01
1.92,2.40E-01
1.9599999,1.60E-01
1.9599999,2.40E-01
2,2.40E-01
1.9599999,2.40E-01
1.9599999,2.40E-01
1.9599999,2.40E-01
1.9599999,3.20E-01
1.9599999,3.20E-01
2.04,2.40E-01
1.9599999,2.40E-01
1.9599999,3.20E-01
2,3.20E-01
2.04,3.20E-01
2,3.20E-01
2,3.20E-01
2.04,2.40E-01
2.04,3.20E-01
2,3.20E-01
2.04,4.00E-01
2.04,3.20E-01
2.04,3.20E-01
2.1199999,3.20E-01
2.0799999,3.20E-01
2.1199999,3.20E-01
2.1199999,3.20E-01
2.0799999,4.00E-01
2.0799999,4.00E-01
2.0799999,4.00E-01
2.1599998,4.00E-01
2.1199999,4.00E-01
2.0799999,4.00E-01
2.1199999,4.00E-01
2.1599998,4.00E-01
2.1599998,4.00E-01
2.1599998,4.00E-01
2.1199999,4.00E-01
2.1599998,4.00E-01
2.1599998,4.00E-01
2.1599998,4.80E-01
2.1599998,4.00E-01
2.1599998,4.00E-01
2.2,4.80E-01
2.2,4.80E-01
2.24,4.80E-01
2.2,5.60E-01
2.24,4.80E-01
2.2,5.60E-01
2.24,4.80E-01
2.2,4.80E-01
2.24,4.80E-01
2.24,5.60E-01
2.24,5.60E-01
2.2,6.40E-01
2.28,6.40E-01
2.24,6.40E-01
2.24,6.40E-01
2.28,6.40E-01
2.28,6.40E-01
2.28,6.40E-01
2.28,6.40E-01
2.3199999,7.20E-01
2.28,7.20E-01
2.28,7.20E-01
2.28,8.00E-01
2.28,8.00E-01
2.3199999,8.00E-01
2.3199999,8.00E-01
2.3199999,8.00E-01
2.3599999,8.80E-01
2.3599999,8.80E-01
2.3599999,8.80E-01
2.3599999,8.80E-01
2.3599999,9.60E-01
2.3999999,9.60E-01
2.3599999,9.60E-01
2.3599999,9.60E-01
2.3999999,8.80E-01
2.3999999,9.60E-01
2.3599999,1.04
2.3999999,1.04
2.3999999,1.04
2.3999999,1.04
2.4400001,1.04
2.3999999,1.04
2.4400001,1.04
2.4400001,1.04
2.4400001,1.04
2.4400001,1.12
2.4400001,1.12
2.48,1.12
2.4400001,1.1999999
2.48,1.12
2.48,1.12
2.48,1.1999999
2.48,1.1999999
2.48,1.12
2.52,1.1999999
2.5599999,1.1999999
2.5599999,1.1999999
2.52,1.28
2.48,1.28
2.52,1.1999999
2.5599999,1.1999999
2.52,1.28
2.5599999,1.28
2.5999999,1.28
2.5599999,1.28
2.5999999,1.28
2.5599999,1.28
2.5599999,1.28
2.5999999,1.28
2.5599999,1.28
2.5999999,1.28
2.6399999,1.36
2.6399999,1.36
2.5999999,1.4399999
2.6399999,1.36
2.5999999,1.4399999
2.6399999,1.36
2.6399999,1.4399999
2.6399999,1.4399999
2.6799998,1.4399999
2.6399999,1.4399999
2.6399999,1.52
2.6799998,1.52
2.6399999,1.52
2.6399999,1.52
2.6799998,1.52
2.6399999,1.52
2.6799998,1.5999999
2.72000003,1.5999999
2.6399999,1.6799999
2.6799998,1.6799999
2.72000003,1.6799999
2.6799998,1.76
2.75999999,1.76
2.75999999,1.76
2.72000003,1.76
2.75999999,1.8399999
2.75999999,1.76
2.75999999,1.8399999
2.75999999,1.8399999
2.72000003,1.92
2.75999999,1.92
2.79999995,1.92
2.83999991,1.92
2.79999995,2.0799999
2.83999991,2
2.79999995,2.0799999
2.79999995,2.0799999
2.79999995,2.1599998
2.79999995,2.1599998
2.83999991,2.1599998
2.83999991,2.24
2.83999991,2.3199999
2.87999988,2.3199999
2.83999991,2.3199999
2.83999991,2.3999999
2.79999995,2.3999999
2.87999988,2.3999999
2.83999991,2.48
2.83999991,2.48
2.87999988,2.48
2.87999988,2.5599999
2.87999988,2.6399999
2.87999988,2.6399999
2.91999984,2.6399999
2.96000004,2.6399999
2.91999984,2.6399999
2.87999988,2.6399999
2.91999984,2.72000003
2.91999984,2.79999995
2.91999984,2.79999995
2.96000004,2.79999995
2.96000004,2.79999995
2.96000004,2.79999995
2.96000004,2.79999995
2.96000004,2.87999988
2.91999984,2.87999988
2.96000004,2.87999988
3,2.87999988
3,2.96000004
3,2.87999988
3,2.96000004
3,2.96000004
3.03999996,2.96000004
3,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.03999996,3.03999996
3.11999989,3.03999996
3.03999996,3.11999989
3.07999992,3.11999989
3.07999992,3.11999989
3.11999989,3.11999989
3.11999989,3.11999989
3.11999989,3.19999981
3.07999992,3.19999981
3.11999989,3.19999981
3.11999989,3.19999981
3.11999989,3.19999981
3.11999989,3.19999981
3.15999985,3.19999981
3.15999985,3.27999997
3.15999985,3.27999997
3.19999981,3.19999981
3.15999985,3.27999997
3.15999985,3.3599999
3.19999981,3.3599999
3.15999985,3.3599999
3.15999985,3.3599999
3.15999985,3.43999982
3.19999981,3.43999982
3.24000001,3.43999982
3.24000001,3.43999982
3.24000001,3.51999998
3.24000001,3.5999999
3.24000001,3.51999998
3.24000001,3.67999983
3.24000001,3.67999983
3.24000001,3.67999983
3.27999997,3.67999983
3.24000001,3.83999991
3.27999997,3.83999991
3.24000001,3.83999991
3.27999997,3.91999984
3.27999997,3.91999984
3.31999993,4
3.27999997,4.07999992
3.24000001,4.15999985
3.31999993,4.15999985
3.31999993,4.15999985
3.31999993,4.23999977
3.31999993,4.31999969
3.31999993,4.31999969
3.31999993,4.4000001
3.31999993,4.48000002
3.3599999,4.55999994
3.3599999,4.48000002
3.31999993,4.55999994
3.3599999,4.63999987
3.3599999,4.63999987
3.31999993,4.79999971
3.3599999,4.79999971
3.39999986,4.79999971
3.39999986,4.88000011
3.39999986,4.88000011
3.43999982,4.96000004
3.39999986,5.03999996
3.39999986,5.03999996
3.3599999,5.11999989
3.39999986,5.11999989
3.43999982,5.11999989
3.43999982,5.11999989
3.43999982,5.19999981
3.48000002,5.19999981
3.43999982,5.19999981
3.43999982,5.27999973
3.43999982,5.27999973
3.48000002,5.35999966
3.48000002,5.35999966
3.48000002,5.27999973
3.51999998,5.35999966
3.51999998,5.35999966
3.51999998,5.44000006
3.48000002,5.44000006
3.48000002,5.44000006
3.51999998,5.44000006
3.55999994,5.44000006
3.51999998,5.44000006
3.55999994,5.44000006
3.51999998,5.44000006
3.51999998,5.51999998
3.55999994,5.51999998
3.55999994,5.5999999
3.55999994,5.5999999
3.55999994,5.51999998
3.5999999,5.51999998
3.55999994,5.5999999
3.63999987,5.51999998
3.5999999,5.5999999
3.5999999,5.51999998
3.63999987,5.51999998
3.5999999,5.67999983
3.63999987,5.5999999
3.63999987,5.5999999
3.63999987,5.67999983
3.5999999,5.5999999
3.67999983,5.67999983
3.63999987,5.67999983
3.67999983,5.67999983
3.63999987,5.67999983
3.67999983,5.67999983
3.67999983,5.75999975
3.67999983,5.75999975
3.67999983,5.83999968
3.67999983,5.83999968
3.63999987,5.83999968
3.67999983,5.83999968
3.67999983,5.92000008
3.72000003,5.92000008
3.67999983,5.92000008
3.75999999,5.92000008
3.72000003,6
3.72000003,6
3.72000003,6.07999992
3.72000003,6.07999992
3.72000003,6.15999985
3.72000003,6.23999977
3.75999999,6.23999977
3.72000003,6.31999969
3.75999999,6.39999962
3.79999995,6.48000002
3.75999999,6.48000002
3.75999999,6.55999994
3.75999999,6.55999994
3.83999991,6.63999987
3.79999995,6.71999979
3.83999991,6.79999971
3.83999991,6.87999964
3.83999991,6.87999964
3.83999991,6.96000004
3.83999991,7.03999996
3.83999991,7.11999989
3.87999988,7.19999981
3.83999991,7.19999981
3.83999991,7.27999973
3.83999991,7.440000057
3.87999988,7.440000057
3.87999988,7.519999981
3.87999988,7.519999981
3.87999988,7.679999828
3.87999988,7.679999828
3.87999988,7.759999752
3.87999988,7.759999752
3.91999984,7.839999676
3.91999984,7.919999599
3.91999984,8
3.9599998,8
3.91999984,8.079999924
3.91999984,8.159999847
3.91999984,8.159999847
3.9599998,8.239999771
3.9599998,8.319999695
3.9599998,8.319999695
3.9599998,8.399999619
3.9599998,8.399999619
4,8.399999619
4,8.479999542
4,8.479999542
4.03999996,8.559999466
3.9599998,8.479999542
4,8.559999466
4,8.559999466
4,8.63999939
4.03999996,8.720000267
4.03999996,8.63999939
4.03999996,8.63999939
4.03999996,8.720000267
4.03999996,8.720000267
4.07999992,8.720000267
4.03999996,8.720000267
4.03999996,8.720000267
4.03999996,8.720000267
4.03999996,8.720000267
4.11999989,8.720000267
4.03999996,8.800000191
4.07999992,8.720000267
4.11999989,8.720000267
4.11999989,8.720000267
4.07999992,8.800000191
4.11999989,8.720000267
4.11999989,8.720000267
4.11999989,8.800000191
4.11999989,8.800000191
4.11999989,8.800000191
4.11999989,8.800000191
4.11999989,8.800000191
4.15999985,8.800000191
4.11999989,8.880000114
4.15999985,8.880000114
4.15999985,8.880000114
4.15999985,8.880000114
4.15999985,8.960000038
4.19999981,8.880000114
4.23999977,8.960000038
4.19999981,8.960000038
4.15999985,9.039999962
4.23999977,8.960000038
4.23999977,9.039999962
4.19999981,9.199999809
4.23999977,9.119999886
4.23999977,9.199999809
4.23999977,9.199999809
4.23999977,9.279999733
4.23999977,9.359999657
4.27999973,9.43999958
4.27999973,9.43999958
4.23999977,9.519999504
4.27999973,9.599999428
4.27999973,9.679999352
4.27999973,9.679999352
4.31999969,9.760000229
4.27999973,9.760000229
4.27999973,9.840000153
4.27999973,9.920000076
4.27999973,10.0799999
4.31999969,10.0799999
4.27999973,10.1599998
4.36000013,10.2399998
4.31999969,10.3199997
4.31999969,10.3999996
4.36000013,10.3199997
4.36000013,10.4799995
4.36000013,10.4799995
4.36000013,10.4799995
4.36000013,10.5599995
4.36000013,10.4799995
4.36000013,10.4799995
4.36000013,10.5599995
4.36000013,10.6399994
4.4000001,10.5599995
4.4000001,10.6399994
4.44000006,10.6399994
4.44000006,10.6399994
4.36000013,10.6399994
4.36000013,10.7199993
4.4000001,10.7199993
4.44000006,10.7199993
4.4000001,10.7199993
4.44000006,10.7199993
4.44000006,10.8000002
4.44000006,10.7199993
4.44000006,10.7199993
4.44000006,10.7199993
4.44000006,10.8000002
4.48000002,10.8000002
4.48000002,10.8000002
4.44000006,10.8000002
4.51999998,10.8000002
4.51999998,10.8000002
4.48000002,10.8000002
4.51999998,10.8000002
4.51999998,10.8800001
4.51999998,10.8800001
4.51999998,10.8800001
4.51999998,10.8800001
4.55999994,10.8800001
4.55999994,10.8800001
4.51999998,10.8800001
4.51999998,10.8800001
4.55999994,10.8800001
4.5999999,10.8800001
4.55999994,10.8800001
4.5999999,10.8800001
4.5999999,10.8800001
4.5999999,10.8800001
4.5999999,10.8800001
4.5999999,10.8800001
4.63999987,10.8800001
4.5999999,10.96
4.63999987,10.96
4.5999999,10.8800001
4.63999987,10.8800001
4.67999983,10.96
4.67999983,10.8800001
4.63999987,10.96
4.63999987,10.96
4.67999983,10.96
4.67999983,10.96
4.71999979,10.96
4.67999983,10.96
4.67999983,10.96
4.63999987,10.96
4.67999983,10.96
4.71999979,10.96
4.67999983,11.04
4.71999979,10.96
4.67999983,10.96
4.71999979,10.96
4.71999979,10.96
4.71999979,10.96
4.67999983,11.04
4.79999971,11.04
4.75999975,11.04
4.71999979,11.04
4.71999979,10.96
4.71999979,11.04
4.71999979,11.04
4.79999971,11.04
4.79999971,11.04
4.79999971,11.04
4.75999975,11.04
4.79999971,11.1199999
4.83999968,11.1199999
4.83999968,11.04
4.79999971,11.04
4.83999968,11.1199999
4.83999968,11.1199999
4.83999968,11.04
4.79999971,11.1199999
4.83999968,11.1199999
4.88000011,11.1199999
4.83999968,11.04
4.88000011,11.1199999
4.88000011,11.1199999
4.83999968,11.1199999
4.92000008,11.04
4.88000011,11.1199999
4.88000011,11.1199999
4.88000011,11.1199999
4.88000011,11.04
4.92000008,11.04
4.92000008,11.1199999
4.92000008,11.1199999
4.88000011,11.1199999
4.96000004,11.1199999
4.92000008,11.1199999
4.92000008,11.1199999
4.92000008,11.1199999
4.96000004,11.1199999
5,11.04
5,11.1199999
5,11.1199999
5,11.1199999
4.96000004,11.1199999
5,11.1999998
5,11.1199999
5,11.1199999
5,11.1199999
5,11.1199999
5.03999996,11.1999998
5.03999996,11.1199999
5.03999996,11.1199999
5.03999996,11.1199999
5.03999996,11.1999998
5.03999996,11.1199999
5.03999996,11.1199999
5.07999992,11.1199999
5.07999992,11.1199999
5.03999996,11.1199999
5.07999992,11.1999998
5.07999992,11.1199999
5.07999992,11.1999998
5.15999985,11.1199999
5.07999992,11.1199999
5.11999989,11.1199999
5.11999989,11.1199999
4.48000002,11.1199999
2.79999995,11.1999998
1.76,11.1199999
1.0799999,11.1199999
6.80E-01,11.04
5.20E-01,11.1199999
3.20E-01,10.96
2.00E-01,10.96
1.60E-01,10.96
8.00E-02,10.96
8.00E-02,10.8800001
8.00E-02,10.8000002
4.00E-02,10.7199993
8.00E-02,10.6399994
4.00E-02,10.4799995
8.00E-02,10.3999996
8.00E-02,10.3199997
8.00E-02,10.0799999
8.00E-02,10.0799999
8.00E-02,9.920000076
8.00E-02,9.679999352
1.20E-01,9.599999428
1.20E-01,9.43999958
8.00E-02,9.199999809
1.60E-01,9.119999886
1.20E-01,8.960000038
1.60E-01,8.720000267
1.60E-01,8.559999466
1.60E-01,8.479999542
1.60E-01,8.319999695
1.60E-01,8.079999924
1.60E-01,7.919999599
2.00E-01,7.759999752
1.60E-01,7.599999905
2.00E-01,7.440000057
2.40E-01,7.27999973
2.00E-01,7.11999989
2.00E-01,6.96000004
2.00E-01,6.79999971
2.00E-01,6.63999987
2.00E-01,6.48000002
2.40E-01,6.31999969
2.00E-01,6.23999977
2.40E-01,6
2.40E-01,5.83999968
2.80E-01,5.67999983
2.80E-01,5.5999999
2.80E-01,5.44000006
2.80E-01,5.19999981
2.40E-01,5.19999981
2.80E-01,5.03999996
2.80E-01,4.88000011
2.80E-01,4.79999971
2.80E-01,4.63999987
2.80E-01,4.48000002
3.20E-01,4.4000001
2.80E-01,4.23999977
3.20E-01,4.15999985
3.60E-01,4
3.20E-01,3.83999991
3.20E-01,3.83999991
3.20E-01,3.67999983
3.20E-01,3.5999999
3.60E-01,3.51999998
3.60E-01,3.43999982
3.60E-01,3.27999997
3.60E-01,3.19999981
4.00E-01,3.11999989
4.00E-01,3.03999996
4.00E-01,2.96000004
3.60E-01,2.87999988
3.60E-01,2.79999995
3.60E-01,2.6399999
4.00E-01,2.6399999
4.00E-01,2.5599999
4.00E-01,2.48
4.00E-01,2.3999999
4.00E-01,2.3199999
4.40E-01,2.24
4.00E-01,2.24
4.40E-01,2.1599998
4.40E-01,2
4.40E-01,2
4.40E-01,1.92
4.80E-01,1.8399999
4.40E-01,1.76
4.40E-01,1.76
4.80E-01,1.6799999
4.80E-01,1.6799999
4.80E-01,1.5999999
4.80E-01,1.52
5.20E-01,1.52
5.20E-01,1.4399999
4.80E-01,1.4399999
5.20E-01,1.36
5.60E-01,1.36
5.60E-01,1.28
5.60E-01,1.28
5.60E-01,1.1999999
5.60E-01,1.1999999
5.60E-01,1.12
5.60E-01,1.12
5.60E-01,1.04
5.60E-01,1.04
6.40E-01,1.04
6.00E-01,9.60E-01
5.60E-01,9.60E-01
6.00E-01,8.80E-01
6.40E-01,8.80E-01
6.00E-01,8.80E-01
6.40E-01,8.00E-01
6.40E-01,8.00E-01
6.00E-01,8.00E-01
6.40E-01,7.20E-01
6.40E-01,7.20E-01
6.40E-01,7.20E-01
6.80E-01,7.20E-01
6.80E-01,6.40E-01
6.80E-01,6.40E-01
6.40E-01,6.40E-01
7.20E-01,6.40E-01
6.80E-01,5.60E-01
6.80E-01,5.60E-01
6.80E-01,5.60E-01
6.80E-01,5.60E-01
7.20E-01,4.80E-01
7.20E-01,4.80E-01
6.80E-01,4.80E-01
7.20E-01,4.80E-01
7.60E-01,4.80E-01
7.60E-01,4.00E-01
7.60E-01,4.00E-01
7.20E-01,4.00E-01
8.00E-01,4.00E-01
7.60E-01,4.00E-01
8.00E-01,4.00E-01
8.00E-01,4.00E-01
7.60E-01,4.00E-01
8.00E-01,4.00E-01
8.00E-01,4.00E-01
7.60E-01,3.20E-01
8.00E-01,3.20E-01
8.40E-01,3.20E-01
8.00E-01,3.20E-01
8.00E-01,3.20E-01
8.00E-01,3.20E-01
8.80E-01,3.20E-01
8.40E-01,3.20E-01
8.40E-01,2.40E-01
8.40E-01,2.40E-01
8.80E-01,2.40E-01
