Voltage U1;Corriente IA
U1/V;IA/nA
;
0.02;0.32
0.04;0.26
0.07;0.23
0.09;0.22
0.12;0.18
0.14;0.14
0.17;0.17
0.19;0.15
0.21;0.19
0.24;0.15
0.26;0.11
0.29;0.09
0.31;0.12
0.34;0.09
0.36;0.12
0.39;0.08
0.41;0.13
0.43;0.1
0.46;0.13
0.48;0.11
0.51;0.17
0.53;0.14
0.56;0.26
0.58;0.22
0.61;0.25
0.63;0.21
0.65;0.33
0.68;0.26
0.7;0.44
0.73;0.32
0.75;0.36
0.78;0.33
0.8;0.51
0.83;0.4
0.85;0.58
0.87;0.41
0.9;0.51
0.92;0.47
0.95;0.66
0.97;0.49
1;0.67
1.02;0.51
1.05;0.66
1.07;0.58
1.09;0.76
1.12;0.57
1.14;0.73
1.17;0.56
1.19;0.73
1.22;0.61
1.24;0.74
1.26;0.56
1.29;0.68
1.31;0.52
1.34;0.7
1.36;0.54
1.39;0.6
1.41;0.48
1.44;0.55
1.46;0.46
1.48;0.63
1.51;0.46
1.53;0.5
1.56;0.42
1.58;0.41
1.61;0.36
1.63;0.47
1.66;0.32
1.68;0.31
1.7;0.25
1.73;0.23
1.75;0.25
1.78;0.31
1.8;0.2
1.83;0.18
1.85;0.18
1.88;0.18
1.9;0.21
1.92;0.21
1.95;0.14
1.97;0.11
2;0.14
2.02;0.12
2.05;0.15
2.07;0.12
2.1;0.11
2.12;0.09
2.14;0.12
2.17;0.1
2.19;0.14
2.22;0.11
2.24;0.21
2.27;0.17
2.29;0.2
2.31;0.16
2.34;0.28
2.36;0.24
2.39;0.38
2.41;0.28
2.44;0.28
2.46;0.26
2.49;0.44
2.51;0.33
2.53;0.51
2.56;0.37
2.58;0.47
2.61;0.47
2.63;0.67
2.66;0.49
2.68;0.7
2.71;0.52
2.73;0.69
2.75;0.62
2.78;0.81
2.8;0.62
2.83;0.8
2.85;0.61
2.88;0.81
2.9;0.67
2.93;0.81
2.95;0.61
2.97;0.74
3;0.57
3.02;0.76
3.05;0.57
3.07;0.65
3.1;0.49
3.12;0.57
3.15;0.47
3.17;0.61
3.19;0.43
3.22;0.51
3.24;0.42
3.27;0.45
3.29;0.4
3.32;0.5
3.34;0.37
3.36;0.36
3.39;0.29
3.41;0.28
3.44;0.25
3.46;0.31
3.49;0.24
3.51;0.21
3.54;0.21
3.56;0.19
3.58;0.22
3.61;0.24
3.63;0.18
3.66;0.13
3.68;0.16
3.71;0.14
3.73;0.16
3.76;0.14
3.78;0.12
3.8;0.09
3.83;0.12
3.85;0.09
3.88;0.13
3.9;0.1
3.93;0.2
3.95;0.17
3.98;0.21
4;0.17
4.02;0.29
4.05;0.25
4.07;0.39
4.1;0.29
4.12;0.33
4.15;0.29
4.17;0.45
4.2;0.33
4.22;0.55
4.24;0.41
4.27;0.51
4.29;0.48
4.32;0.69
4.34;0.53
4.37;0.76
4.39;0.56
4.42;0.7
4.44;0.61
4.46;0.83
4.49;0.62
4.51;0.81
4.54;0.61
4.56;0.8
4.59;0.69
4.61;0.86
4.63;0.64
4.66;0.78
4.68;0.64
4.71;0.84
4.73;0.65
4.76;0.77
4.78;0.61
4.81;0.71
4.83;0.61
4.85;0.76
4.88;0.58
4.9;0.63
4.93;0.52
4.95;0.59
4.98;0.52
5;0.64
5.03;0.48
5.05;0.47
5.07;0.43
5.1;0.41
5.12;0.36
5.15;0.43
5.17;0.31
5.2;0.26
5.22;0.28
5.25;0.24
5.27;0.28
5.29;0.31
5.32;0.24
5.34;0.21
5.37;0.24
5.39;0.19
5.42;0.25
5.44;0.2
5.47;0.18
5.49;0.14
5.51;0.19
5.54;0.16
5.56;0.21
5.59;0.15
5.61;0.26
5.64;0.21
5.66;0.26
5.68;0.21
5.71;0.33
5.73;0.28
5.76;0.43
5.78;0.32
5.81;0.38
5.83;0.33
5.86;0.49
5.88;0.37
5.9;0.6
5.93;0.45
5.95;0.56
5.98;0.51
6;0.75
6.03;0.59
6.05;0.83
6.08;0.64
6.1;0.78
6.12;0.72
6.15;0.96
6.17;0.72
6.2;0.96
6.22;0.77
6.25;0.96
6.27;0.88
6.3;1.06
6.32;0.82
6.34;1.01
6.37;0.83
6.39;1.02
6.42;0.87
6.44;0.98
6.47;0.81
6.49;0.94
6.52;0.82
6.54;1.01
6.56;0.83
6.59;0.88
6.61;0.78
6.64;0.83
6.66;0.76
6.69;0.9
6.71;0.72
6.73;0.76
6.76;0.7
6.78;0.68
6.81;0.66
6.83;0.75
6.86;0.63
6.88;0.6
6.91;0.58
6.93;0.51
6.95;0.55
6.98;0.6
7;0.52
7.03;0.44
