Voltage U1;Corriente IA
U1/V;IA/nA
;
0.02;0.77
0.04;0.64
0.07;0.53
0.09;0.52
0.12;0.42
0.14;0.37
0.17;0.39
0.19;0.35
0.21;0.38
0.24;0.44
0.26;0.34
0.29;0.28
0.31;0.31
0.34;0.24
0.36;0.3
0.39;0.26
0.41;0.21
0.43;0.18
0.46;0.23
0.48;0.18
0.51;0.24
0.53;0.19
0.56;0.26
0.58;0.2
0.61;0.26
0.63;0.21
0.65;0.31
0.68;0.25
0.7;0.39
0.73;0.3
0.75;0.35
0.78;0.29
0.8;0.43
0.83;0.33
0.85;0.53
0.87;0.39
0.9;0.51
0.92;0.46
0.95;0.67
0.97;0.53
1;0.74
1.02;0.55
1.05;0.68
1.07;0.58
1.09;0.8
1.12;0.6
1.14;0.81
1.17;0.63
1.19;0.83
1.22;0.72
1.24;0.92
1.26;0.7
1.29;0.88
1.31;0.69
1.34;0.88
1.36;0.7
1.39;0.85
1.41;0.64
1.44;0.79
1.46;0.63
1.48;0.81
1.51;0.64
1.53;0.73
1.56;0.59
1.58;0.69
1.61;0.58
1.63;0.76
1.66;0.6
1.68;0.63
1.7;0.55
1.73;0.53
1.75;0.47
1.78;0.58
1.8;0.42
1.83;0.38
1.85;0.33
1.88;0.29
1.9;0.33
1.92;0.38
1.95;0.29
1.97;0.25
2;0.28
2.02;0.26
2.05;0.31
2.07;0.29
2.1;0.25
2.12;0.19
2.14;0.24
2.17;0.19
2.19;0.22
2.22;0.17
2.24;0.23
2.27;0.17
2.29;0.23
2.31;0.19
2.34;0.29
2.36;0.26
2.39;0.4
2.41;0.3
2.44;0.35
2.46;0.29
2.49;0.43
2.51;0.32
2.53;0.54
2.56;0.4
2.58;0.49
2.61;0.44
2.63;0.66
2.66;0.52
2.68;0.74
2.71;0.56
2.73;0.69
2.75;0.62
2.78;0.85
2.8;0.63
2.83;0.85
2.85;0.64
2.88;0.82
2.9;0.72
2.93;0.9
2.95;0.67
2.97;0.86
3;0.67
3.02;0.89
3.05;0.72
3.07;0.85
3.1;0.67
3.12;0.82
3.15;0.67
3.17;0.86
3.19;0.66
3.22;0.75
3.24;0.61
3.27;0.69
3.29;0.59
3.32;0.73
3.34;0.56
3.36;0.61
3.39;0.52
3.41;0.53
3.44;0.47
3.46;0.56
3.49;0.44
3.51;0.41
3.54;0.36
3.56;0.33
3.58;0.34
3.61;0.39
3.63;0.31
3.66;0.27
3.68;0.3
3.71;0.25
3.73;0.3
3.76;0.29
3.78;0.24
3.8;0.18
3.83;0.24
3.85;0.2
3.88;0.25
3.9;0.2
3.93;0.26
3.95;0.21
3.98;0.26
4;0.19
4.02;0.3
4.05;0.25
4.07;0.38
4.1;0.29
4.12;0.34
4.15;0.29
4.17;0.46
4.2;0.35
4.22;0.55
4.24;0.42
4.27;0.51
4.29;0.46
4.32;0.66
4.34;0.5
4.37;0.74
4.39;0.53
4.42;0.67
4.44;0.6
4.46;0.82
4.49;0.62
4.51;0.85
4.54;0.63
4.56;0.84
4.59;0.71
4.61;0.89
4.63;0.66
4.66;0.85
4.68;0.66
4.71;0.87
4.73;0.69
4.76;0.86
4.78;0.66
4.81;0.81
4.83;0.68
4.85;0.86
4.88;0.67
4.9;0.78
4.93;0.61
4.95;0.72
4.98;0.62
5;0.76
5.03;0.59
5.05;0.64
5.07;0.55
5.1;0.58
5.12;0.52
5.15;0.61
5.17;0.48
5.2;0.46
5.22;0.41
5.25;0.38
5.27;0.38
5.29;0.46
5.32;0.37
5.34;0.31
5.37;0.34
5.39;0.29
5.42;0.35
5.44;0.35
5.47;0.28
5.49;0.22
5.51;0.26
5.54;0.2
5.56;0.28
5.59;0.22
5.61;0.27
5.64;0.21
5.66;0.28
5.68;0.24
5.71;0.35
5.73;0.28
5.76;0.42
5.78;0.33
5.81;0.39
5.83;0.33
5.86;0.48
5.88;0.37
5.9;0.58
5.93;0.43
5.95;0.54
5.98;0.47
6;0.7
6.03;0.55
6.05;0.78
6.08;0.6
6.1;0.75
6.12;0.68
6.15;0.93
6.17;0.7
6.2;0.94
6.22;0.75
6.25;0.93
6.27;0.82
6.3;1.03
6.32;0.8
6.34;1.01
6.37;0.83
6.39;1.03
6.42;0.88
6.44;1.04
6.47;0.83
6.49;0.99
6.52;0.84
6.54;1.04
6.56;0.89
6.59;0.99
6.61;0.86
6.64;0.97
6.66;0.87
6.69;1.03
6.71;0.86
6.73;0.9
6.76;0.81
6.78;0.82
6.81;0.76
6.83;0.87
6.86;0.73
6.88;0.7
6.91;0.66
6.93;0.62
6.95;0.63
6.98;0.66
7;0.56
7.03;0.49
