Voltage U1,Corriente IA
U1/V,IA/nA
,
0.02,0.46
0.04,0.47
0.07,0.47
0.09,0.45
0.12,0.46
0.14,0.44
0.17,0.44
0.19,0.44
0.21,0.43
0.24,0.43
0.26,0.44
0.29,0.42
0.31,0.41
0.34,0.4
0.36,0.41
0.39,0.41
0.41,0.41
0.43,0.42
0.46,0.41
0.48,0.42
0.51,0.44
0.53,0.43
0.56,0.44
0.58,0.44
0.61,0.43
0.63,0.45
0.65,0.44
0.68,0.42
0.7,0.44
0.73,0.43
0.75,0.42
0.78,0.45
0.8,0.43
0.83,0.45
0.85,0.46
0.87,0.46
0.9,0.47
0.92,0.47
0.95,0.44
0.97,0.45
1,0.43
1.02,0.43
1.05,0.44
1.07,0.44
1.09,0.45
1.12,0.45
1.14,0.43
1.17,0.47
1.19,0.44
1.22,0.45
1.24,0.45
1.26,0.44
1.29,0.43
1.31,0.45
1.34,0.43
1.36,0.48
1.39,0.46
1.41,0.44
1.44,0.43
1.46,0.44
1.48,0.43
1.51,0.44
1.53,0.4
1.56,0.41
1.58,0.4
1.61,0.43
1.63,0.46
1.66,0.5
1.68,0.47
1.7,0.48
1.73,0.47
1.75,0.48
1.78,0.47
1.8,0.45
1.83,0.42
1.85,0.42
1.88,0.41
1.9,0.42
1.92,0.43
1.95,0.42
1.97,0.44
2,0.45
2.02,0.45
2.05,0.47
2.07,0.46
2.1,0.45
2.12,0.45
2.14,0.44
2.17,0.45
2.19,0.44
2.22,0.42
2.24,0.44
2.27,0.45
2.29,0.47
2.31,0.46
2.34,0.46
2.36,0.47
2.39,0.49
2.41,0.47
2.44,0.48
2.46,0.44
2.49,0.43
2.51,0.43
2.53,0.42
2.56,0.42
2.58,0.42
2.61,0.43
2.63,0.43
2.66,0.45
2.68,0.44
2.71,0.47
2.73,0.46
2.75,0.47
2.78,0.47
2.8,0.47
2.83,0.45
2.85,0.47
2.88,0.44
2.9,0.44
2.93,0.42
2.95,0.41
2.97,0.42
3,0.44
3.02,0.43
3.05,0.44
3.07,0.44
3.1,0.48
3.12,0.48
3.15,0.49
3.17,0.47
3.19,0.47
3.22,0.45
3.24,0.46
3.27,0.43
3.29,0.44
3.32,0.42
3.34,0.44
3.36,0.44
3.39,0.48
3.41,0.45
3.44,0.49
3.46,0.44
3.49,0.45
3.51,0.44
3.54,0.43
3.56,0.4
3.58,0.42
3.61,0.39
3.63,0.42
3.66,0.4
3.68,0.38
3.71,0.41
3.73,0.42
3.76,0.41
3.78,0.42
3.8,0.42
3.83,0.45
3.85,0.48
3.88,0.46
3.9,0.45
3.93,0.45
3.95,0.44
3.98,0.45
4,0.43
4.02,0.43
4.05,0.42
4.07,0.42
4.1,0.44
4.12,0.44
4.15,0.43
4.17,0.45
4.2,0.46
4.22,0.45
4.24,0.46
4.27,0.45
4.29,0.46
4.32,0.46
4.34,0.43
4.37,0.43
4.39,0.43
4.42,0.43
4.44,0.45
4.46,0.44
4.49,0.44
4.51,0.44
4.54,0.45
4.56,0.48
4.59,0.48
4.61,0.45
4.63,0.46
4.66,0.45
4.68,0.44
4.71,0.44
4.73,0.41
4.76,0.42
4.78,0.42
4.81,0.39
4.83,0.43
4.85,0.43
4.88,0.42
4.9,0.44
4.93,0.42
4.95,0.41
4.98,0.44
5,0.41
5.03,0.37
5.05,0.36
5.07,0.37
5.1,0.38
5.12,0.38
5.15,0.4
5.17,0.43
5.2,0.47
5.22,0.52
5.25,0.5
5.27,0.5
5.29,0.52
5.32,0.51
5.34,0.48
5.37,0.5
5.39,0.44
5.42,0.45
5.44,0.43
5.47,0.42
5.49,0.41
5.51,0.4
5.54,0.4
5.56,0.43
5.59,0.43
5.61,0.43
5.64,0.46
5.66,0.47
5.68,0.48
5.71,0.48
5.73,0.47
5.76,0.47
5.78,0.48
5.81,0.45
5.83,0.45
5.86,0.45
5.88,0.45
5.9,0.46
5.93,0.46
5.95,0.46
5.98,0.47
6,0.47
6.03,0.49
6.05,0.48
6.08,0.48
6.1,0.47
6.12,0.46
6.15,0.44
6.17,0.44
6.2,0.41
6.22,0.43
6.25,0.42
6.27,0.42
6.3,0.43
6.32,0.44
6.34,0.42
6.37,0.46
6.39,0.46
6.42,0.49
6.44,0.49
6.47,0.5
6.49,0.49
6.52,0.52
6.54,0.47
6.56,0.5
6.59,0.45
6.61,0.46
6.64,0.47
6.66,0.47
6.69,0.48
6.71,0.51
6.73,0.48
6.76,0.52
6.78,0.49
6.81,0.48
6.83,0.49
6.86,0.47
6.88,0.44
6.91,0.44
6.93,0.42
6.95,0.44
6.98,0.42
7,0.41
7.03,0.43
