ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;157
16.9;203
17;184
17.1;185
17.2;210
17.3;206
17.4;210
17.5;207
17.6;213
17.7;230
17.8;234
17.9;308
18;547
18.1;1320
18.2;646
18.3;295
18.4;233
18.5;237
18.6;226
18.7;224
18.8;234
18.9;236
19;219
19.1;232
19.2;207
19.3;216
19.4;229
19.5;225
19.6;240
19.7;233
19.8;254
19.9;266
20;341
20.1;397
20.2;1012
20.3;3512
20.4;5826
20.5;1862
20.6;406
20.7;284
20.8;247
20.9;227
21;181
21.1;179
21.2;212
21.3;204
21.4;192
21.5;190
21.6;196
21.7;185
21.8;184
