ﾁngulo del crista;Tasa con 35kV
theta/ｰ;R(35kV)/Imp/s
;
16.8;241
16.9;225
17;253
17.1;233
17.2;261
17.3;239
17.4;274
17.5;252
17.6;262
17.7;277
17.8;284
17.9;370
18;659
18.1;1556
18.2;844
18.3;381
18.4;314
18.5;276
18.6;286
18.7;276
18.8;290
18.9;260
19;288
19.1;278
19.2;265
19.3;291
19.4;285
19.5;267
19.6;285
19.7;306
19.8;326
19.9;359
20;393
20.1;464
20.2;1130
20.3;3985
20.4;7209
20.5;2290
20.6;506
20.7;353
20.8;304
20.9;249
21;245
21.1;244
21.2;259
21.3;248
21.4;235
21.5;241
21.6;248
21.7;240
21.8;222
